# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	4685
#@/user_id	884253d3-7f28-4531-9f27-e91562b61ca9
a 	啊	c=13 d=0.356486 t=4685
a a a 	啊啊啊	c=1 d=0.00166557 t=4685
a a a wan 	啊啊啊玩	c=1 d=0.0167392 t=4685
a ha ha 	啊哈哈	c=2 d=1.32628 t=4384
a la bo yu 	阿拉伯語	c=1 d=0.193013 t=4685
a piao 	阿飄	c=1 d=1 t=4165
a ya 	阿雅	c=1 d=1 t=3808
a zhou 	阿州	c=1 d=1 t=3827
ai 	唉	c=1 d=1 t=2572
ai 	愛	c=3 d=0.920743 t=4685
ai de hua 	愛德華	c=1 d=0.0129068 t=4685
ai ma 	捱罵	c=1 d=1 t=4033
ai yong 	愛用	c=0 d=0.1 t=2604
ai yong sha yong sha 	愛用啥用啥	c=1 d=1 t=2605
ai zhe teng 	愛折騰	c=2 d=0.771052 t=4685
an jing 	安靜	c=1 d=0.00554422 t=4685
an se 	暗色	c=3 d=2.54212 t=3528
an zhuang 	安裝	c=4 d=0.71785 t=4685
an zhuang bao 	安裝包	c=1 d=1 t=3567
an zhuang de 	安裝的	c=1 d=0.318224 t=4685
ao men 	澳門	c=1 d=1 t=3935
ba 	八	c=1 d=0.00535353 t=4685
ba 	吧	c=39 d=2.98293 t=4685
ba 	把	c=11 d=1.26572 t=4685
ba bao zi 	把豹子	c=1 d=0.0443785 t=4685
ba shi jian 	把時間	c=1 d=0.810584 t=4685
ba ta 	把它	c=1 d=0.0871609 t=4685
ba wo 	把握	c=0 d=0.0514274 t=4685
ba wo de 	把握的	c=1 d=0.516851 t=4685
bai 	白	c=1 d=1 t=2634
bai 	百	c=1 d=1.00001 t=4537
bai bu yong 	百不用	c=1 d=1 t=2633
bai de 	白的	c=0 d=0.1 t=4142
bai de ma 	白的嘛	c=1 d=1 t=4143
bai qiu en 	白求恩	c=1 d=0.0430669 t=4685
bai tou 	白頭	c=0 d=0.1 t=4145
bai tou fa 	白頭發	c=1 d=1 t=4146
ban 	版	c=2 d=1.77562 t=4493
ban ben 	版本	c=3 d=1.05816 t=4685
ban ben hao 	版本號	c=0 d=0.000235786 t=4685
ban ben hao a 	版本號啊	c=1 d=0.00236968 t=4685
ban fa 	辦法	c=0 d=0.000509243 t=4685
ban fa le 	辦法了	c=1 d=0.00511796 t=4685
ban jiao 	半角	c=1 d=0.00479587 t=4685
ban li 	辦理	c=1 d=0.0164078 t=4685
bang ni 	幫你	c=3 d=2.86347 t=3627
bang ni nong 	幫你弄	c=1 d=0.947894 t=3616
bang shang 	幫上	c=0 d=0.0236928 t=4685
bang wo 	幫我	c=0 d=0.1 t=3091
bang wo nong 	幫我弄	c=1 d=1 t=3092
bang zhu 	幫助	c=1 d=0.470011 t=4685
bao 	包	c=10 d=0.83482 t=4685
bao 	報	c=2 d=0.0265162 t=4685
bao 	爆	c=0 d=0.1 t=3431
bao liu 	保留	c=1 d=0.00810722 t=4685
bao lu 	暴露	c=0 d=0.00126512 t=4685
bao lu le 	暴露了	c=1 d=0.0127147 t=4685
bao nei cun 	爆內存	c=1 d=1 t=3432
bao qian 	抱歉	c=1 d=0.236928 t=4685
bao zi 	豹子	c=0 d=0.00441572 t=4685
bei 	唄	c=3 d=0.130016 t=4685
bei 	被	c=6 d=0.568376 t=4685
bei bian 	被貶	c=1 d=1 t=4507
bei cui 	悲摧	c=1 d=1 t=3699
bei geng xin 	被更新	c=1 d=1 t=4283
bei jia zai de 	被加載的	c=1 d=1 t=4366
bei jing 	背景	c=1 d=0.1764 t=4685
bei lu 	北路	c=1 d=1 t=4630
bei qi shi 	被歧視	c=1 d=0.400517 t=4685
bei tai 	備胎	c=2 d=0.429299 t=4685
bei zhu 	備註	c=2 d=0.388976 t=4685
ben 	本	c=1 d=1.02808 t=3954
ben 	苯	c=1 d=1 t=2686
ben ben 	本本	c=0 d=0.1 t=3704
ben di 	本地	c=1 d=1 t=3942
ben di hua 	本地化	c=1 d=1 t=2621
ben ji 	本機	c=1 d=0.142274 t=4685
ben jiu 	本就	c=0 d=0.0319819 t=4685
ben lai 	本來	c=2 d=0.00776922 t=4685
ben shen 	本身	c=2 d=0.0489192 t=4685
ben shen de 	本身的	c=1 d=0.491644 t=4685
beng 	崩	c=1 d=0.118837 t=4685
beng 	繃	c=0 d=0.000486835 t=4685
beng bu zhu le 	繃不住了	c=1 d=0.00489275 t=4685
beng de 	崩得	c=0 d=0.0115903 t=4685
bi 	比	c=1 d=0.449329 t=4685
bi ji ben 	筆記本	c=4 d=2.62671 t=3273
bi jiao 	比較	c=2 d=0.287161 t=4685
bi jiao fang ba 	比較方吧	c=1 d=0.00869506 t=4685
bi mian 	避免	c=1 d=1 t=4032
bi ru shuo 	比如說	c=0 d=0.0031273 t=4685
bi ru shuo wo 	比如說我	c=1 d=0.0314298 t=4685
bi wo 	比我	c=1 d=0.26054 t=4685
bi xu pin 	必需品	c=1 d=0.112478 t=4685
bian 	便	c=2 d=0.594526 t=4685
bian 	邊	c=1 d=0.436049 t=4685
bian cheng 	編程	c=1 d=1 t=4057
bian cheng 	變成	c=1 d=0.00481991 t=4685
bian hua 	變化	c=1 d=1 t=3652
bian huang 	變黃	c=0 d=0.1 t=4143
bian kan zhe 	便看着	c=1 d=0.429557 t=4685
bian le 	變了	c=1 d=1 t=4007
bian liang 	變量	c=3 d=0.0391639 t=4685
bian xing 	變形	c=1 d=1 t=4234
bian yi 	便宜	c=0 d=0.000895987 t=4685
bian yi 	編譯	c=8 d=1.01321 t=4685
bian yi de hua 	便宜的話	c=1 d=0.00900478 t=4685
bian yi yi xia nei he 	編譯一下內核	c=1 d=1 t=4608
biao ge 	表格	c=1 d=1 t=2445
biao shi 	表示	c=2 d=1.92312 t=3044
bie de 	別的	c=3 d=0.364219 t=4685
bie ren 	別人	c=2 d=0.0149208 t=4685
bin 	斌	c=0 d=0.00773047 t=4685
bin yu 	賓語	c=1 d=0.0485578 t=4685
bing bu 	並不	c=0 d=0.1 t=4223
bing bu que ding 	並不確定	c=1 d=1 t=4224
bing bu shi 	並不是	c=1 d=0.451581 t=4685
bing lie 	並列	c=15 d=11.858 t=3921
bing lie fu ju 	並列複句	c=1 d=1 t=3922
bo shi 	博士	c=6 d=3.76822 t=2677
bu 	不	c=4 d=0.512474 t=4685
bu 	步	c=0 d=0.00420036 t=4685
bu bei 	不被	c=1 d=1 t=4279
bu beng 	不崩	c=1 d=0.119433 t=4685
bu chang 	不長	c=0 d=0.0923116 t=4685
bu chu qu 	不出去	c=1 d=1 t=2821
bu chuo 	不輟	c=0 d=0.000465413 t=4685
bu cun zai 	不存在	c=1 d=1 t=4411
bu cuo 	不錯	c=1 d=0.0480747 t=4685
bu da 	不大	c=3 d=0.114899 t=4685
bu da li 	不搭理	c=1 d=0.0108347 t=4685
bu dai 	不帶	c=1 d=0.00609675 t=4685
bu dao 	不到	c=1 d=0.629935 t=3289
bu de 	不得	c=1 d=1 t=3497
bu dui 	不對	c=1 d=0.0234005 t=4685
bu fang 	不放	c=2 d=1.96561 t=3461
bu fen 	部分	c=0 d=0.1 t=4341
bu fen ma 	部分嘛	c=1 d=1 t=4342
bu gai 	不改	c=0 d=0.1 t=3968
bu gan 	不敢	c=0 d=0.1 t=4480
bu gan she 	不干涉	c=1 d=1 t=2606
bu gan shuo ba 	不敢說吧	c=1 d=1 t=4481
bu gou 	不夠	c=1 d=1 t=2506
bu guan shi 	不管是	c=1 d=1 t=2882
bu guo 	不過	c=23 d=3.2339 t=4685
bu hao 	不好	c=2 d=0.261846 t=4685
bu hao kan 	不好看	c=1 d=1 t=4376
bu hao nong 	不好弄	c=2 d=0.00960953 t=4685
bu huang 	不慌	c=0 d=0.1 t=4600
bu hui 	不會	c=2 d=0.2092 t=4685
bu hui ba 	不會吧	c=1 d=0.0432828 t=4685
bu hui chu xian 	不會出現	c=0 d=0.000763509 t=4685
bu hui nong 	不會弄	c=2 d=1.00072 t=3986
bu hui shuo 	不會說	c=1 d=1 t=4182
bu hui ya 	不會呀	c=1 d=1 t=2650
bu hui you 	不會有	c=1 d=0.0125881 t=4685
bu ji de 	不記得	c=0 d=0.1 t=2619
bu ji de sha shi hou le 	不記得啥時候了	c=1 d=1 t=2620
bu ji de shi 	不計得失	c=1 d=1 t=2698
bu jian dan 	不簡單	c=1 d=1 t=3334
bu jiu 	不久	c=1 d=1 t=4487
